Account number,City,Country,Region,C40_Status,VA_Year,Climate change risk or vulnerability assessment done?,EMCoal,EMGas,EMOil,EMNuclear,EMHydro,EMBiomass,EMWind,EMGeothermal,EMSolar,EMOther sources,Percentage Renewable,EmYear,EmYearReported,City-wide emissions inventory,EmissionsAccountingYear,Gases Included,Direct emissions (metric tonnes CO2e) for Total generation of grid-supplied energy,Direct emissions (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary (metric tonnes CO2e) for Total Generation of grid supplied energy,Emissions occurring outside city boundary (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),TotalEmissions,Change in emissions,Primary reason for the change in emissions,Land area (in square km), Population,PopulationDensity,Population Year,City Location,WellBeing,WaterSupplyRisk,Timescale,Magnitude
35913,City of Nairobi,Kenya,Africa,C40,2017,No,,,,,,,,,,,0,,2021,Yes,2016-01-01 - 2016-12-31,"CH4, CO2, N20",194596,4034712,,380290,,1483978,6093576,,,696,4700000,6752.87,2019,POINT (36.8219 -1.29206),5.15,Inadequate or aging infrastructure,Current,Serious
31174,Moscow Government,Russia,Europe,C40,2017,No,0,99.25,0,0,0.12,0.2,,,0.02,0.38,0.01,2018,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, N20",36121980,18188482,,36382370,,6517804,97210636,Stayed the same,"Other, please specify: Direct emissions were reduced, total emissions increased slightly (less than 1%) due to a longer heating season.",2562,12655050,4939.52,2020,POINT (37.6173 55.7558),6.028,Inadequate or aging infrastructure,0,Less serious
31108,City of Houston,USA,North America,C40,2017,In progress,22.62,48.55,0.03,10,0.22,0.24,17.02,0,0.77,0.55,0.29,2018,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, N20",772360,19811166,,12884021,,587012,34054559,Decreased,"Other, please specify: Decrease in stationary emissions",1737.88,2320268,1335.11,2019,POINT (-95.3694 29.7602),7.11,#N/A,#N/A,#N/A
10894,City of Los Angeles,USA,North America,C40,2017,In progress,18,31,0,10,8,1,10,4,11,7,0.51,,2021,Yes,2018-01-01 - 2018-12-31,"CH4, CO2, HFCs, N20, PFCs",1329146,18683071,,7636620,,27315349,54964186,Increased,"Other, please specify: Expanded reporting from BASIC to BASIC+",1215,4021488,3309.87,2018,POINT (-118.244 34.0522),6.956,Inadequate or aging infrastructure,Current,Serious
31187,Seoul Metropolitan Government,South Korea,East Asia,C40,2017,Yes,40.7,24.9,0.7,26.3,0.6,0.2,0,0,1.3,5.3,0.34,2019,2021,Yes,2018-01-01 - 2018-12-31,"CH4, CO2, HFCs, N20, PFCs, SF6",283719,382492,,,,,666211,Increased,Increased energy/electricity consumption,605.23,9911088,16375.74,2020,POINT (126.978 37.5665),5.947,Increased water stress or scarcity,Long-term,Serious
51079,Guatemala City,Guatemala,Latin America,,2017,In progress,24.2,0,3.8,,56.6,0,2,2.3,1.5,9.3,0.72,2020,2021,Yes,2020-01-01 - 2020-12-31,"CH4, CO2, N20",,2137923,,532.36,,,2138455.36,Decreased,"Other, please specify: Due the pandemics it was a decrease in greehouse gas emissions",228,902522,3958.43,2020,POINT (-90.5069 14.6349),6.65,Inadequate or aging infrastructure,Current,Serious
36032,Ville de Dakar,Senegal,Africa,C40,2017,Yes,75,1,,,,,,,,24,0.24,2016,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, N20",,,,,,,0,This is our first year of calculation,Lack of knowledge overcome,82.2,1252786,15240.71,2016,POINT (-17.366 14.7645),5.256,#N/A,#N/A,#N/A
35903,Le Grand Casablanca,Morocco,Africa,,2017,Yes,21.7,5,62,0,0.5,6.5,0.6,0.6,0.6,2.5,0.11,,2021,In progress,-2018,"CH4, CO2, N20",,,,,,,0,,,1117,3360000,3008.06,2014,POINT (-7.56806 33.5206),5.18,Increased water stress or scarcity,Long-term,Serious
36426,Riga City,Latvia,Europe,,2017,In progress,0,98.04,0,0,0,1.62,0,0,0,0.34,0.02,2019,2021,Yes,2020-01-01 - 2020-12-31,CO2,555000,1015000,0,0,0,0,1570000,Decreased,"Other, please specify: The COVID-19 pandemic",304.05,614618,2021.44,2021,POINT (24.1052 56.9496),6.175,Increased water stress or scarcity,Medium-term,Less serious
14088,City of Oslo,Norway,Europe,C40,2017,Yes,0,1,1,0,98,0,0,0,0,0,0.98,,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, N20",295720,978407,,428721,,23658,1726506,Decreased,Policy change,454,697010,1535.26,2021,POINT (10.7522 59.9139),7.232,Increased water stress or scarcity,Long-term,Extremely serious
35268,City of Boston,USA,North America,C40,2017,Yes,1,49,1,30,8,,3,,,8,0.49,2018,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, N20",,4103893,,2088568,,,6192461,Decreased,"Other, please specify",231.14,694295,3003.79,2019,POINT (-71.0598 42.3584),7.091,#N/A,#N/A,#N/A
31180,Región Metropolitana de Santiago,Chile,Latin America,C40,2017,Yes,18.79,15.32,15.57,0,28.4,1.9,8.16,0.16,11.7,0,0.5,2020,2021,Yes,2016-01-01 - 2016-12-31,"CH4, CO2, N20",688371,15937535,,7797110,,2596311,27019327,This is our first year of calculation,"Other, please specify: En elaboración",15403,8125072,527.5,2020,POINT (-70.6693 -33.4489),6.77,Inadequate or aging infrastructure,Medium-term,Serious
31181,City of Philadelphia,USA,North America,C40,2017,Yes,17.6,38,0.2,39.7,0.9,1.9,1,0,0.4,0.3,0.44,2016,2021,Yes,2016-01-01 - 2016-12-31,"CH4, CO2, N20, SF6",0,9045798.6,,4878085.71,,204120,14128004.31,Decreased,"Other, please specify",367,1584064,4316.25,2019,POINT (-75.1638 39.9523),7.004,Declining water quality,Long-term,Less serious
3422,Greater London Authority,United Kingdom,Europe,C40,2017,Yes,5.1,39.5,2.9,19.5,1.7,,17.1,0,3.9,10.4,0.53,2018,2021,Yes,2018-01-01 - 2018-12-31,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,22399730,,9081930,,6015468,37497128,Decreased,Technological change,1595,8908081,5585,2018,POINT (-0.07868 51.5048),6.782,Other ,Current,Serious
43937,Wellington City Council,New Zealand,South Asia and Oceania,,2017,Yes,4,10,,,61,2,6,17,,,0.86,2019,2021,Yes,2019-07-01 - 2020-06-30,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,639447.95,,175241.69,,180325.87,995015.51,Decreased,Technological change,290,215000,741.38,2020,POINT (174.776 -41.2865),7.553,Declining water quality,Current,Extremely serious
31175,City of Paris,France,Europe,C40,2017,Yes,1.1,5.7,0.3,71.7,12.4,1.7,5.1,0,2,0,0.93,2018,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",105351,3374790,,1466019,,11324735,16270895,Decreased,"Other, please specify: a mix of the primary reasons proposed",105,2210875,21055.95,2018,POINT (2.35222 48.8566),6.635,Increased water stress or scarcity,Long-term,Serious
3203,City of Chicago,USA,North America,C40,2017,Yes,26,34,0,34,2,0,3,0,0,1,0.4,,2021,Yes,2017-01-01 - 2017-12-31,"CH4, CO2, N20",,15893258,,13051174,,2090953,31035385,Decreased,Policy change,606,2693976,4445.5,2019,POINT (-87.6298 41.8781),7.033,#N/A,#N/A,#N/A
31172,Mexico City,Mexico,Latin America,C40,2017,Yes,31,48,21,0,0,0,0,0,0,0,0,2018,2021,Yes,2018-01-01 - 2018-12-31,"CH4, CO2, HFCs, N20",315677.98,21314717.24,,5850460.22,,18311059.64,45791915.08,Increased,"Other, please specify: Se contó con estudios local",1485,9041395,6088.48,2018,POINT (-99.1332 19.4326),6.693,Inadequate or aging infrastructure,Current,Extremely serious
42178,Distrito Metropolitano de Quito,Ecuador,Latin America,C40,2017,Yes,0,,9.9,0,90,0.1,0,0,0,0,0.9,2019,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, N20",,7339,,,,,7339,Decreased,"Other, please specify: Las emisiones del año 2019 se ven disminuidas debido al factor de emisión de electricidad determinado a nivel nacional.",4230,2239191,529.36,2010,POINT (-78.5167 -0.2333),6.437,Increased water stress or scarcity,Medium-term,Less serious
31114,City of Sydney,Australia,South Asia and Oceania,C40,2017,Yes,62.7,19.6,2,0,6.3,1.4,4.9,0,3.1,,0.16,2019,2021,Yes,2019-07-01 - 2020-06-30,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",0,694290.14,281199.77,2491844.42,0,12839.18,3480173.51,Decreased,Behavioural change,26.72,248736,9308.98,2020,POINT (151.207 -33.8675),7.133,Increased water stress or scarcity,Current,Less serious
31009,City of Copenhagen,Denmark,Europe,C40,2017,Yes,19,6,1,4,11,13,38,0,4,4,0.74,2018,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, HFCs, N20, PFCs, SF6",253924,497706,,512473,,11641,1275744,Decreased,Technological change,91.3,638147,6989.56,2021,POINT (12.5683 55.6761),7.53,#N/A,#N/A,#N/A
3429,City of Stockholm,Sweden,Europe,C40,2017,Yes,3,2,0,21,53,6,10,,,5,0.95,2018,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, N20",594428,810537,,648135,,55748,2108848,Decreased,Technological change,18.7,981105,52465.51,2020,POINT (18.0686 59.3293),7.373,Declining water quality,Medium-term,Less serious
54459,City of Reykjavík,Iceland,Europe,,2017,Yes,0,0,0,0,70,0,0,30,0,0,1,2019,2021,Yes,2020-01-01 - 2020-12-31,"CH4, CO2, N20",,491281,,25058,,18251,534590,Decreased,Behavioural change,274,133262,486.36,2021,POINT (-21.8174 64.1265),7.317,#N/A,#N/A,#N/A
35858,City of Cape Town,South Africa,Africa,C40,2017,Yes,89.6,0.015,0.401,4.699,0.54,0.015,2.874,0,1.794,0.062,0.1,2018,2021,Yes,2018-01-01 - 2018-12-31,"CH4, CO2, N20",305634,8823065,,11527623,,2714935,23371257,Decreased,"Other, please specify: Decline in electricity related emissions and total liquid fuels sales. Waste emissions reported have dropped but it is unlikely this reflects an actual drop",2440,4423834,1813.05,2018,POINT (18.4239 -33.9253),5.265,Increased water stress or scarcity,Current,Extremely serious
56276,New Taipei City Government,Taiwan,East Asia,,2017,Yes,30.8,35.3,5.4,8.1,5.4,0,1.8,0,7.5,5.7,0.29,2019,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,6810972.24,,11424208.23,,453541.08,18688721.55,Decreased,"Other, please specify: Decreased stationary energy and waste",2052,4030954,1964.4,2020,POINT (121.446 25.0111),6.517,Increased water stress or scarcity,Current,Less serious
36159,City of Lisbon,Portugal,Europe,,2017,Yes,26,33,0,0,10,5,23,0,2,1,0.41,,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, N20",,1364046,,725273,95152,103475,2287946,Decreased,Technological change,85.9,544851,6342.85,2021,POINT (-9.13933 38.7223),5.66,#N/A,#N/A,#N/A
31149,City of Athens,Greece,Europe,C40,2017,Yes,32.3,26.4,10.4,0,5.89,12.77,5.47,0.12,6.65,0,0.31,2018,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",0,1587592,0,1721213,0,1273157,4581962,Decreased,Change in weather conditions,39,661299,16956.38,2019,POINT (23.7275 37.9838),5.345,Increased water stress or scarcity,Medium-term,Serious
35449,Stadt Zürich,Switzerland,Europe,,2017,Yes,0,0,0,6.37,75.92,2.51,2.43,0,1.26,11.51,1,2018,2021,Yes,2020-01-01 - 2020-12-31,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,830887,,278915,,,1109802,Decreased,Technological change,91.9,434736,4730.53,2020,POINT (8.53918 47.3686),7.541,#N/A,#N/A,#N/A
31115,City of Johannesburg,South Africa,Africa,C40,2017,Yes,99.3,0,0,0,0,0.3,0,0,0.4,0,0.01,2019,2021,Yes,2016-01-01 - 2016-12-31,"CH4, CO2, N20",,8622822,,6421642,,2650844,17695308,Decreased,"Other, please specify: Possible reduced consumption driven by economic slump. Also, improved approach at data analysis may explain the reduction.",1645,5870000,3568.39,2020,POINT (28.0473 -26.2041),5.361,Flooding,Current,Extremely serious
3417,New York City,USA,North America,C40,2017,Yes,0.27,56.14,1.44,31.92,6.43,2.14,0.9,0,0.32,0.44,0.42,2019,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, N20",,38275608,12417317,,,,50692925,Increased,Change in weather conditions,1213.37,8399000,6922.04,2018,POINT (-74.0059 40.7128),6.964,#N/A,#N/A,#N/A
43920,City of Ljubljana,Slovenia,Europe,,2017,Yes,47,12,0,38,0.9,0.16,0.32,0.4,0.22,1,0.41,,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, N20",669821,1219212,,,,,1889033,Decreased,"Other, please specify: Emissions reduction actions implemented and improved data accuracy",274.99,294464,1070.82,2021,POINT (14.5058 46.0569),6.178,#N/A,#N/A,#N/A
31169,Government of Hong Kong Special Administrative Region,Hong Kong,East Asia,C40,2017,Yes,44,29.1,0.3,26.6,0,0,0,0,0,0,0.27,2020,2021,Yes,2019-01-01 - 2019-12-31,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",25950353.09,13874194.45,,25950353.09,,0,65774900.63,Decreased,"Other, please specify",1110.18,7481800,6739.27,2020,POINT (114.14 22.2881),5.444,Other,Long-term,Serious
35893,City of Dar es Salaam,United Republic of Tanzania,Africa,C40,2017,Yes,0.25,5,8,0,1.5,85,0,0,0.25,0,0.87,2020,2021,In progress,2016-01-01 - 2016-12-31,"CH4, CO2, N20",,,,,,,0,,,10989,6041000,549.73,2019,POINT (39.2083 -6.79235),3.961,Other,Current,Less serious
54337,Greater Amman Municipality,Jordan,Middle East,C40,2017,No,0,87.9,2.8,0,0.1,0,3.7,0,4.4,1,0.09,2018,2021,Yes,2018-01-01 - 2018-12-31,"CH4, CO2, N20",0,5144947,0,5073787,0,1724480,11943214,Stayed the same,Emissions have not changed,800,3800000,4750,2018,POINT (35.9284 31.9454),5.275,Increased water stress or scarcity,Short-term,Extremely serious
31171,Ayuntamiento de Madrid,Spain,Europe,C40,2017,Yes,14.11,21.13,5.28,20.32,13.41,2.56,18.54,,4.64,,0.59,,2021,Yes,2018-01-01 - 2018-12-31,"CH4, CO2, HFCs, N20, PFCs, SF6",240875.8,7123790.44,,3417616.41,,323434.05,11105716.7,Stayed the same,"Other, please specify: The GHG emissions slightly decreased as a result of and increase of direct emissions and a higher decrease of indirect emissions",606,3223334,5319.03,2018,POINT (-3.38756 40.1076),6.5,Declining water quality,Medium-term,Serious
31150,Bangkok Metropolitan Administration,Thailand,South Asia and Oceania,C40,2017,Yes,17.7,60.2,0.1,0,6.2,6.6,2,0,5.6,1.6,0.22,2017,2021,Yes,2016-01-01 - 2016-12-31,"CH4, CO2, N20",,,,,,,0,Stayed the same,"Other, please specify: Slightly increase from 41.3 to 41.5 MtCO2e",1568.737,8420887,5367.94,2016,POINT (100.556 13.7712),6.33,Increased water stress or scarcity,Current,Serious
31117,City of Toronto,Canada,North America,C40,2017,Yes,,29,,34,23,1,12,,1,,0.71,2020,2021,Yes,2018-01-01 - 2018-12-31,"CH4, CO2, N20",,99924,,,,,99924,Increased,Change in available data,630,2956024,4692.1,2018,POINT (-79.3832 43.6532),7.298,#N/A,#N/A,#N/A
35993,Singapore Government,Singapore,South Asia and Oceania,C40,2017,Yes,1.08,95.74,0.15,0,0,2.39,0,0,0.57,0.07,0.03,2020,2021,Yes,2018-01-01 - 2018-12-31,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,0,Increased,Population increase,724.2,5685807,7851.16,2020,POINT (103.82 1.35208),6.494,#N/A,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Mean,,,,,,,20.13295455,32.70829545,5.740261905,14.459,17.15302326,4.357926829,5.562186047,1.436315789,2.077170732,3.63905,0.42375,2018.512821,2021,#DIV/0!,-2018,#DIV/0!,3567605.127,7494183.976,2539703.354,6435973.65,19030.4,3435678.654,14845475.64,,,1293.124646,3461590.563,7829.974281,2018.916667,,6.4194375,,,
Standard Deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
